,genes,descriptions,gene_ids,search_substring,search_domain,name,defn,id,n_genes,synonym,xref,comment,uniprot
1024,MARCHF6,membrane associated ring-CH-type finger 6,10299,"Endoplasmic reticulum, Endoplasmic reticulum, Endoplasmic reticulum","CC, CC, CC","endoplasmic reticulum, endoplasmic reticulum quality control compartment, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""A subcompartment of the endoplasmic reticulum in which proteins with improper or incorrect folding accumulate. Enzymes in this compartment direct proteins with major folding problems to translocation to the cytosol and degradation, and proteins with minor folding problems to the ER, to interact with chaperon proteins."" [PMID:11408579]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0044322, GO:0005789","[1163, 25, 1114]","[nan, [synonym(text='ER quality control compartment', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER-derived quality control compartment', scope='RELATED', typename='', dbxrefs=set()), synonym(text='ERQC', scope='EXACT', typename='', dbxrefs=set())], nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan, nan]","[nan, nan, nan]",O60337
1025,MARCHF8,membrane associated ring-CH-type finger 8,220972,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q5T0T0
1026,MATN3,matrilin 3,4148,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],O15232
1027,MBL2,mannose binding lectin 2,4153,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, rough endoplasmic reticulum","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The rough (or granular) endoplasmic reticulum (ER) has ribosomes adhering to the outer surface; the ribosomes are the site of translation of the mRNA for those proteins which are either to be retained within the cisternae (ER-resident proteins), the proteins of the lysosomes, or the proteins destined for export from the cell. Glycoproteins undergo their initial glycosylation within the cisternae."" [ISBN:0198506732]']","GO:0005783, GO:0005791","[1163, 58]","[nan, [synonym(text='RER', scope='EXACT', typename='', dbxrefs=set()), synonym(text='rough ER', scope='EXACT', typename='', dbxrefs=set())]]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, {'NIF_Subcellular:sao1881364067', 'Wikipedia:Endoplasmic_reticulum#Rough_endoplasmic_reticulum'}]","[nan, nan]",P11226
1028,MBLAC2,metallo-beta-lactamase domain containing 2,153364,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q68D91
1029,MBOAT1,membrane bound O-acyltransferase domain containing 1,154141,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q6ZNC8
1030,MBOAT2,membrane bound O-acyltransferase domain containing 2,129642,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q6ZWT7
1031,MBOAT4,membrane bound O-acyltransferase domain containing 4,619373,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q96T53
1032,MBOAT7,membrane bound O-acyltransferase domain containing 7,79143,"Endoplasmic reticulum, Endoplasmic reticulum, Endoplasmic reticulum","CC, CC, CC","endoplasmic reticulum, mitochondria-associated endoplasmic reticulum membrane, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""A zone of apposition between endoplasmic-reticulum and mitochondrial membranes, structured by bridging complexes. These contact sites are thought to facilitate inter-organelle calcium and phospholipid exchange."" [GOC:jl, PMID:19556461, PMID:22078959, PMID:29626751, PMID:29684109]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0044233, GO:0005789","[1163, 21, 1114]","[nan, [synonym(text='endoplasmic reticulum-mitochondrion membrane contact site', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER-mitochondrion membrane contact site', scope='EXACT', typename='', dbxrefs=set()), synonym(text='MAM', scope='RELATED', typename='', dbxrefs=set()), synonym(text='mitochondria-associated ER membrane', scope='EXACT', typename='', dbxrefs=set()), synonym(text='mitochondria-associated membrane', scope='EXACT', typename='', dbxrefs=set()), synonym(text='mitochondria-endoplasmic reticulum (ER) contact', scope='EXACT', typename='', dbxrefs={'PMID:29870872'})], nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan, nan]","[nan, nan, nan]",Q96N66
1033,MBTPS1,"membrane bound transcription factor peptidase, site 1",8720,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum lumen, endoplasmic reticulum membrane","['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005788, GO:0005789","[313, 1114]","[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())], nan]","[nan, nan]","[nan, nan]",Q14703
1034,MCFD2,"multiple coagulation factor deficiency 2, ER cargo receptor complex subunit",90411,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum-Golgi intermediate compartment membrane, endoplasmic reticulum membrane","['""The lipid bilayer surrounding any of the compartments of the endoplasmic reticulum (ER)-Golgi intermediate compartment system."" [GOC:mah, GOC:pr, PMID:16723730]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0033116, GO:0005789","[80, 1114]","[nan, nan]","[nan, nan]","[nan, nan]",Q8NI22
1035,MCRS1,microspherule protein 1,10445,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q96EZ8
1036,MCTP1,multiple C2 and transmembrane domain containing 1,79772,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q6DN14
1037,MELTF,melanotransferrin,4241,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],P08582
1038,MEN1,menin 1,4221,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],O00255
1039,MEPE,matrix extracellular phosphoglycoprotein,56955,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],Q9NQ76
1040,MESD,mesoderm development LRP chaperone,23184,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q14696
1041,MEST,mesoderm specific transcript,4232,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q5EB52
1042,METTL9,"methyltransferase 9, His-X-His N1(pi)-histidine",51108,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q9H1A3
1043,MFGE8,milk fat globule EGF and factor V/VIII domain containing,4240,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],Q08431
1044,MFSD2A,"MFSD2 lysolipid transporter A, lysophospholipid",84879,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q8NA29
1045,MGAT1,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",4245,Endoplasmic reticulum,CC,endoplasmic reticulum-Golgi intermediate compartment membrane,"['""The lipid bilayer surrounding any of the compartments of the endoplasmic reticulum (ER)-Golgi intermediate compartment system."" [GOC:mah, GOC:pr, PMID:16723730]']",GO:0033116,[80],[nan],[nan],[nan],P26572
1046,MGAT4A,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",11320,"Endoplasmic reticulum, Endoplasmic reticulum, Endoplasmic reticulum","CC, CC, CC","endoplasmic reticulum, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum lumen","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""A complex system of membrane-bounded compartments located between endoplasmic reticulum (ER) and the Golgi complex, with a distinctive membrane protein composition; involved in ER-to-Golgi and Golgi-to-ER transport."" [GOC:pr, PMID:16723730]', '""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']","GO:0005783, GO:0005793, GO:0005788","[1163, 74, 313]","[nan, [synonym(text='EGTC', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum-Golgi transport container', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER-Golgi intermediate compartment', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER-Golgi transport container', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ERGIC', scope='EXACT', typename='', dbxrefs=set()), synonym(text='pre-Golgi intermediate compartment', scope='EXACT', typename='', dbxrefs=set()), synonym(text='vesicular-tubular cluster', scope='EXACT', typename='', dbxrefs={'Wikipedia:Vesicular-tubular_cluster'}), synonym(text='VTC', scope='EXACT', typename='', dbxrefs=set())], [synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan, nan]","[nan, nan, nan]",Q9UM21
1047,MGAT4B,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",11282,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum-Golgi intermediate compartment","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""A complex system of membrane-bounded compartments located between endoplasmic reticulum (ER) and the Golgi complex, with a distinctive membrane protein composition; involved in ER-to-Golgi and Golgi-to-ER transport."" [GOC:pr, PMID:16723730]']","GO:0005783, GO:0005793","[1163, 74]","[nan, [synonym(text='EGTC', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum-Golgi transport container', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER-Golgi intermediate compartment', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER-Golgi transport container', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ERGIC', scope='EXACT', typename='', dbxrefs=set()), synonym(text='pre-Golgi intermediate compartment', scope='EXACT', typename='', dbxrefs=set()), synonym(text='vesicular-tubular cluster', scope='EXACT', typename='', dbxrefs={'Wikipedia:Vesicular-tubular_cluster'}), synonym(text='VTC', scope='EXACT', typename='', dbxrefs=set())]]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q9UQ53
1048,MGAT4D,MGAT4 family member D,152586,"Endoplasmic reticulum, Endoplasmic reticulum, Endoplasmic reticulum","CC, CC, CC","endoplasmic reticulum, endoplasmic reticulum-Golgi intermediate compartment, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""A complex system of membrane-bounded compartments located between endoplasmic reticulum (ER) and the Golgi complex, with a distinctive membrane protein composition; involved in ER-to-Golgi and Golgi-to-ER transport."" [GOC:pr, PMID:16723730]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005793, GO:0005789","[1163, 74, 1114]","[nan, [synonym(text='EGTC', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum-Golgi transport container', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER-Golgi intermediate compartment', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER-Golgi transport container', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ERGIC', scope='EXACT', typename='', dbxrefs=set()), synonym(text='pre-Golgi intermediate compartment', scope='EXACT', typename='', dbxrefs=set()), synonym(text='vesicular-tubular cluster', scope='EXACT', typename='', dbxrefs={'Wikipedia:Vesicular-tubular_cluster'}), synonym(text='VTC', scope='EXACT', typename='', dbxrefs=set())], nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan, nan]","[nan, nan, nan]",A6NG13
1049,MGLL,monoglyceride lipase,11343,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q99685
1050,MGRN1,mahogunin ring finger 1,23295,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],O60291
1051,MGST1,microsomal glutathione S-transferase 1,4257,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",P10620
1052,MGST2,microsomal glutathione S-transferase 2,4258,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q99735
1053,MGST3,microsomal glutathione S-transferase 3,4259,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",O14880
1054,MIA2,MIA SH3 domain ER export factor 2,4253,"Endoplasmic reticulum, Endoplasmic reticulum, Endoplasmic reticulum","CC, CC, CC","endoplasmic reticulum, endoplasmic reticulum exit site, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""An endoplasmic reticulum part at which COPII-coated vesicles are produced."" [NIF_Subcellular:sao124393998, PMID:15623529, PMID:16957052]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0070971, GO:0005789","[1163, 32, 1114]","[nan, [synonym(text='ER exit site', scope='EXACT', typename='', dbxrefs={'GOC:mah'}), synonym(text='transitional ER', scope='EXACT', typename='', dbxrefs={'PMID:15623529'})], nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan, nan]","[nan, nan, nan]",Q96PC5
1055,MIA3,MIA SH3 domain ER export factor 3,375056,"Endoplasmic reticulum, Endoplasmic reticulum, Endoplasmic reticulum","CC, CC, CC","endoplasmic reticulum lumen, endoplasmic reticulum exit site, endoplasmic reticulum membrane","['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]', '""An endoplasmic reticulum part at which COPII-coated vesicles are produced."" [NIF_Subcellular:sao124393998, PMID:15623529, PMID:16957052]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005788, GO:0070971, GO:0005789","[313, 32, 1114]","[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())], [synonym(text='ER exit site', scope='EXACT', typename='', dbxrefs={'GOC:mah'}), synonym(text='transitional ER', scope='EXACT', typename='', dbxrefs={'PMID:15623529'})], nan]","[nan, nan, nan]","[nan, nan, nan]",Q5JRA6
1056,MINAR2,membrane integral NOTCH2 associated receptor 2,100127206,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",P59773
1057,MINPP1,multiple inositol-polyphosphate phosphatase 1,9562,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum lumen","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']","GO:0005783, GO:0005788","[1163, 313]","[nan, [synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q9UNW1
1058,MIP,major intrinsic protein of lens fiber,4284,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P30301
1059,MLANA,melan-A,2315,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q16655
1060,MLC1,modulator of VRAC current 1,23209,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q15049
1061,MLEC,malectin,9761,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q14165
1062,MMGT1,membrane magnesium transporter 1,93380,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q8N4V1
1063,MMP23B,matrix metallopeptidase 23B,8510,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],O75900
